1001;大鵬華城;38;3;新店區;24.99116;121.53398;新北市新店區中正路700巷3號;Xindian Dist.;Dapeng Community;No. 3, Lane 700 Chung Cheng Road, Xindian District;
1002;汐止火車站;56;31;汐止區;25.068914;121.662748;南昌街/新昌路口(西側廣場);Xizhi Dist.;Xizhi Railway Station;Nanchang St./Xinchang Rd.;
1003;汐止區公所;46;26;汐止區;25.064162;121.658301;新台五路一段/仁愛路口(新台五路側汐止地政事務所前機車停車場);Xizhi Dist.;Xizhi Dist. Office;Sec. 1, Xintai 5th Rd./Ren’ai Rd.;
1004;國泰綜合醫院;40;12;汐止區;25.07315;121.662555;建成路78號對面停車場;Xizhi Dist.;Cathay General Hospital;No78, Jiancheng Rd;
1005;裕隆公園;40;15;新店區;24.979649;121.546319;寶中路/品牌路口(東南側);Xindian Dist.;Yulon Park;;
1006;捷運大坪林站;32;9;新店區;24.983977;121.541721;寶安街/寶安街58巷(西北側);Xindian Dist.;MRT Dapinglin Sta.;Bao'an St./Ln. 58,Bao'an St;
1007;汐科火車站(北);34;11;汐止區;25.064106;121.653019;大同路二段184巷/龍安路202巷(西側)(汐科火車站北站出口前);Xizhi Dist.;Xike Railway Station(North);Ln. 184,Sec. 2, Datong Rd./Ln. 202,Long’an Rd.;
1008;興華公園;40;2;三重區;25.060125;121.483101;重陽路一段120巷/中華路2巷;Sanchong Dist.;Xinghua Park;Ln. 120, Sec. 1, Chongyang Rd./Ln. 2, Zhonghua Rd.;
1009;三重國民運動中心;68;31;三重區;25.054391;121.488489;集美街/重新路四段184巷;Sanchong Dist.;San chong Civil Sports Center;Jimei St., Sanchong Dist./Ln. 184, Sec. 4, Chongxin Rd.;
1010;捷運三重站(3號出口);34;4;三重區;25.055883;121.484739;捷運路/捷運路37巷;Sanchong Dist.;MRT Sanchong Sta. (Exit 3);Jieyun Rd./Ln. 37, Jieyun Rd.;
1011;樟樹國小;48;5;汐止區;25.066688;121.640367;樟樹二路/樟樹一路141巷;Xizhi Dist.;Zhangshu Elementary School;Zhangshu 2nd Rd./Ln. 141, Zhangshu 1st Rd.;
1012;金龍國小;52;13;汐止區;25.0688;121.628908;中興路/民族六街;Xizhi Dist.;Jinlong Elementary School;Zhongxing Rd./Minzu 6th St.;
1013;白雲國小;46;19;汐止區;25.047578;121.618888;民權街二段90號;Xizhi Dist.;Pai Yun Primary School;No.90, Sec. 2, Minquan St.;
1014;東勢宜興活動中心;52;16;汐止區;25.039031;121.624333;東勢街/芳園街;Xizhi Dist.;Yixing-Dongshi Civic Center;Dongshi St./Fangyuan St.;
1015;後港公園;40;27;新莊區;25.025358;121.428348;建安街/建安街57巷;Xinzhuang Dist.;Hougang Park;Ln. 57, Jian’an St./Jian’an St.;
1016;福營行政中心;42;7;新莊區;25.0241250;121.423870;四維路17號-20號;Xinzhuang Dist.;Fuying Administration Center;No.17, Siwei Rd./No.20, Siwei Rd.;
1017;西盛公園;36;13;新莊區;25.017113;121.428048;新莊區西盛街/西盛街201巷;Xinzhuang Dist.;Xisheng Park;Xisheng St./Ln. 201, Xisheng St.;
1018;忠誠里(北新路2段97巷);42;5;新店區;24.974272;121.542779;北新路二段/北新路二段97巷;Xindian Dist.;Zhongcheng Village (Ln. 97, Sec. 2, Beixin Rd);Sec. 2, Beixin Rd./Ln. 97, Sec. 2, Beixin Rd.;
1019;仁愛廣場;50;14;蘆洲區;25.090565;121.471621;民權路139號旁;Luzhou Dist.;Renai Square;No.139, Minquan Rd.;
1020;重陽國小;42;3;三重區;25.066245;121.484337;中正北路/三民街175巷;Sanchong Dist.;Chong Yang Elementary School;Zhongzheng N. Rd./Ln. 175, Sanmin St.;
1021;明志國中;50;6;三重區;25.063396;121.488982;中正北路107號;Sanchong Dist.;Mingzhi Junior High School;No.107, Zhongzheng N. Rd;
1022;三重商工;64;2;三重區;25.068681;121.480705;中正北路/中正北路276巷;Sanchong Dist.;San-Chung Commercial and Industrial Vocational High School;Ln. 276, Zhongzheng N. Rd.;
